"Company","Item","Calories","Total.Fat..g.","Saturated.Fat..g.","Carbs..g.","Fiber..g.","Sugars..g.","Protein..g.","Salt.g","Category"
"McDonald’s","Oatmeal Raisin Cookie",150,6,2.5,22,1,13,2,0.3375,"Breakfast"
"McDonald’s","Sugar Cookie",160,7,3,21,0,11,2,0.3,"Desserts"
"McDonald’s","Apple Dippers with Low Fat Caramel Dip",100,0.5,0,23,0,15,0,0.0875,"Desserts"
"McDonald’s","Chocolate McCafé® Shake (12 fl oz cup)",580,17,10,94,1,77,11,0.6,"Shakes"
"McDonald’s","Chocolate McCafé® Shake (16 fl oz cup)",720,20,12,119,1,98,15,0.75,"Shakes"
"McDonald’s","Chocolate McCafé® Shake (22 fl oz cup)",880,24,15,147,1,121,18,0.925,"Shakes"
"McDonald’s","Chocolate Triple Thick® Shake (12 fl oz cup)",440,10,6,76,1,63,10,0.475,"Shakes"
"McDonald’s","Chocolate Triple Thick® Shake (16 fl oz cup)",580,14,8,102,1,84,13,0.625,"Shakes"
"McDonald’s","Chocolate Triple Thick® Shake (21 fl oz cup)",770,18,11,134,1,111,18,0.825,"Shakes"
"McDonald’s","Chocolate Triple Thick® Shake (32 fl oz cup)",1160,27,16,203,2,168,27,1.275,"Shakes"
"McDonald’s","Snack Size McFlurry® with M&M’S® Candies",430,16,10,64,2,59,9,0.325,"Desserts"
"McDonald’s","Snack Size McFlurry® with OREO® Cookies",340,12,6,53,2,43,8,0.5,"Desserts"
"McDonald’s","Strawberry McCafé® Shake (12 fl oz cup)",570,17,10,92,0,79,11,0.425,"Shakes"
"McDonald’s","Strawberry McCafé® Shake (16 fl oz cup)",710,20,12,116,0,100,14,0.525,"Shakes"
"McDonald’s","Strawberry McCafé® Shake (22 fl oz cup)",860,24,15,144,0,124,18,0.65,"Shakes"
"McDonald’s","Strawberry Triple Thick® Shake (12 fl oz cup)",420,10,6,73,0,63,10,0.325,"Shakes"
