"Company","Item","Energy..kcal.day.","Fat..g.day.","Saturated.fat..g.day.","Salt..g.day.","Carbohydrate..g.day.","Fibre..g.day..","Free.sugars..g.day.","Protein..g.day."
"McDonald’s","POWERade® Mountain Blast (Small)",100,0,0,0.2125,27,0,21,0
"McDonald’s","POWERade® Mountain Blast (Medium)",150,0,0,0.325,39,0,31,0
"McDonald’s","POWERade® Mountain Blast (Large)",220,0,0,0.475,58,0,46,0
"McDonald’s","Iced Tea (Child)",0,0,0,0.0125,0,0,0,0
"McDonald’s","Iced Tea (Small)",0,0,0,0.025,0,0,0,0
"McDonald’s","Iced Tea (Medium)",0,0,0,0.0375,0,0,0,0
"McDonald’s","Iced Tea (Large)",0,0,0,0.05,1,0,0,0
"McDonald’s","Coffee (Small)",0,0,0,0,0,0,0,0
"McDonald’s","Coffee (Large)",0,0,0,0,0,0,0,0
"McDonald’s","Coffee Cream",20,2,1.5,0.0375,0,0,0,0
"McDonald’s","Sugar Packet",15,0,0,0,4,0,4,0
"McDonald’s","EQUAL® 0
Calorie Sweetener",0,0,0,0,1,0,1,0
"McDonald’s","SPLENDA® No
Calorie Sweetener",0,0,0,0,1,0,1,0
"McDonald’s","Iced Coffee– Caramel (Small)",130,5,3.5,0.2,21,0,20,1
"McDonald’s","Iced Coffee– Caramel (Medium)",190,8,5,0.2875,27,0,27,2
"McDonald’s","Iced Coffee– Caramel (Large)",270,11,7,0.4,41,0,41,2
"McDonald’s","Iced Coffee– Hazelnut (Small)",130,5,3.5,0.1,21,0,21,1
"McDonald’s","Iced Coffee– Hazelnut (Medium)",190,8,5,0.15,29,0,29,2
"McDonald’s","Iced Coffee– Hazelnut (Large)",270,11,7,0.2125,43,0,43,2
"McDonald’s","Iced Coffee– Regular (Small)",140,5,3.5,0.1,22,0,22,1
"McDonald’s","Iced Coffee– Regular (Medium)",200,8,5,0.15,30,0,30,2
"McDonald’s","Iced Coffee– Regular (Large)",280,11,7,0.2125,45,0,45,2
"McDonald’s","Iced Coffee– Vanilla (Small)",130,5,3.5,0.1,21,0,21,1
"McDonald’s","Iced Coffee– Vanilla (Medium)",190,8,5,0.15,29,0,28,2
"McDonald’s","Iced Coffee– Vanilla (Large)",270,11,7,0.2,43,0,43,2
"McDonald’s","Iced Coffee with Sugar Free Vanilla Syrup (Small)",60,5,3.5,0.175,8,0,1,1
"McDonald’s","Iced Coffee with Sugar Free Vanilla Syrup (Medium)",90,8,5,0.25,11,0,2,2
"McDonald’s","Iced Coffee with Sugar Free Vanilla Syrup (Large)",120,11,7,0.35,16,0,2,2
"McDonald’s","Sweet Tea (Child)",110,0,0,0.0125,27,0,27,0
"McDonald’s","Sweet Tea (Large)",280,0,0,0.0375,69,0,69,1
"McDonald’s","Sweet Tea (Medium)",180,0,0,0.025,45,0,45,1
"McDonald’s","Sweet Tea (Small)",150,0,0,0.025,36,0,36,1
"McDonald’s","Nonfat Cappuccino (Small)",60,0,0,0.2125,9,0,9,6
"McDonald’s","Nonfat Cappuccino (Medium)",80,0,0,0.275,12,0,12,8
"McDonald’s","Nonfat Cappuccino (Large)",90,0,0,0.325,13,0,13,9
"McDonald’s","Nonfat Latte (Small)",90,0,0,0.2875,13,0,13,9
"McDonald’s","Nonfat Latte (Medium)",110,0,0,0.35,15,0,15,10
"McDonald’s","Nonfat Latte (Large)",120,0,0,0.4,18,0,18,12
"McDonald’s","Nonfat Caramel Cappuccino (Small)",150,0,0,0.3,33,0,32,5
"McDonald’s","Nonfat Caramel Cappuccino (Medium)",190,0,0,0.375,41,0,41,6
"McDonald’s","Nonfat Caramel Cappuccino (Large)",230,0,0,0.45,49,0,49,7
"McDonald’s","Nonfat Caramel Latte (Small)",170,0,0,0.375,36,0,36,7
"McDonald’s","Nonfat Caramel Latte (Medium)",220,0,0,0.45,45,0,45,9
"McDonald’s","Nonfat Caramel Latte (Large)",260,0,0,0.55,53,0,53,10
"McDonald’s","Nonfat Hazelnut Cappuccino (Small)",150,0,0,0.175,34,0,34,5
"McDonald’s","Nonfat Hazelnut Cappuccino (Medium)",190,0,0,0.225,43,0,43,6
"McDonald’s","Nonfat Hazelnut Cappuccino (Large)",230,0,0,0.25,51,0,51,7
"McDonald’s","Nonfat Hazelnut Latte (Small)",180,0,0,0.2375,37,0,37,7
"McDonald’s","Nonfat Hazelnut Latte (Medium)",220,0,0,0.2875,46,0,46,9
"McDonald’s","Nonfat Hazelnut Latte (Large)",260,0,0,0.3375,55,0,55,10
"McDonald’s","Nonfat Vanilla Cappuccino (Small)",150,0,0,0.175,34,0,34,5
"McDonald’s","Nonfat Vanilla Cappuccino (Medium)",190,0,0,0.225,42,0,42,6
"McDonald’s","Nonfat Vanilla Cappuccino (Large)",230,0,0,0.25,51,0,51,7
"McDonald’s","Nonfat Vanilla Latte (Small)",180,0,0,0.2375,37,0,37,7
"McDonald’s","Nonfat Vanilla Latte (Medium)",220,0,0,0.2875,46,0,46,9
"McDonald’s","Nonfat Vanilla Latte (Large)",260,0,0,0.3375,55,0,55,10
